fdc_id,description,nutrient_id,name,amount,unit_name
168151,"Jujube, raw",1219,Valine,0.0,G
168151,"Jujube, raw",1220,Arginine,0.0,G
168151,"Jujube, raw",1221,Histidine,0.0,G
168151,"Jujube, raw",1229,Cysteine and methionine(sulfer containig AA),0.0,G
168151,"Jujube, raw",1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G
168151,"Jujube, raw",1272,PUFA 22:6 n-3 (DHA),0.0,G
168151,"Jujube, raw",1278,PUFA 20:5 n-3 (EPA),0.0,G
168151,"Jujube, raw",1316,"PUFA 18:2 n-6 c,c",0.0,G
168151,"Jujube, raw",1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G
168153,"Kiwifruit, green, raw",1003,Protein,1.14,G
168153,"Kiwifruit, green, raw",1004,Total lipid (fat),0.52,G
168153,"Kiwifruit, green, raw",1005,"Carbohydrate, by difference",14.66,G
168153,"Kiwifruit, green, raw",1008,Energy,61.0,KCAL
168153,"Kiwifruit, green, raw",1087,"Calcium, Ca",34.0,MG
168153,"Kiwifruit, green, raw",1088,"Chlorine, Cl",0.0,MG
168153,"Kiwifruit, green, raw",1089,"Iron, Fe",0.31,MG
168153,"Kiwifruit, green, raw",1090,"Magnesium, Mg",17.0,MG
168153,"Kiwifruit, green, raw",1091,"Phosphorus, P",34.0,MG
168153,"Kiwifruit, green, raw",1092,"Potassium, K",312.0,MG
168153,"Kiwifruit, green, raw",1093,"Sodium, Na",3.0,MG
168153,"Kiwifruit, green, raw",1095,"Zinc, Zn",0.14,MG
168153,"Kiwifruit, green, raw",1098,"Copper, Cu",0.13,MG
168153,"Kiwifruit, green, raw",1100,"Iodine, I",0.0,UG
168153,"Kiwifruit, green, raw",1101,"Manganese, Mn",0.098,MG
168153,"Kiwifruit, green, raw",1103,"Selenium, Se",0.2,UG
168153,"Kiwifruit, green, raw",1104,"Vitamin A, IU",87.0,IU
168153,"Kiwifruit, green, raw",1110,"Vitamin D (D2 + D3), International Units",0.0,IU
168153,"Kiwifruit, green, raw",1109,Vitamin E (alpha-tocopherol),1.46,MG
168153,"Kiwifruit, green, raw",1165,Thiamin,0.027,MG
168153,"Kiwifruit, green, raw",1166,Riboflavin,0.025,MG
168153,"Kiwifruit, green, raw",1167,Niacin,0.341,MG
168153,"Kiwifruit, green, raw",1170,Pantothenic acid,0.183,MG
