ingredient_id,nutrient_id,amount,fdc_id,data_source,created_at
9eb522a9-7f41-4267-9c8f-9d1151cff430,1178,70.58,168626.0,usda,2026-02-04T04:40:40.267768
9eb522a9-7f41-4267-9c8f-9d1151cff430,1180,426.0,168626.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1008,289.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1005,0.58,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1079,0.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1003,26.69,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1220,1.741,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1221,1.055,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1212,1.22,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1213,2.129,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1214,2.296,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1215,0.713,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1216,0.308,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1217,1.136,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1218,1.13,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1211,1.132,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1210,0.344,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1219,1.343,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1004,20.04,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1269,2.214,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1404,0.118,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1271,0.093,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1272,0.006,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1278,0.005,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1087,20.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1091,226.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1092,354.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1093,89.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1088,0.0,,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1090,23.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1089,1.1,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1098,0.04,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1101,0.013,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1095,2.57,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1100,0.0,,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1103,42.4,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1104,0.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1110,20.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1109,0.31,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1165,0.421,169192.0,usda,2026-02-04T04:40:40.267768
