ingredient_id,nutrient_id,amount,data_source,create_at
168873,1090,40,built_in,
168873,1091,119,built_in,
168873,1092,92,built_in,
168873,1093,1,built_in,
168873,1095,0.53,built_in,
168873,1098,0.066,built_in,
168873,1100,0,built_in,
168873,1101,0.964,built_in,
168873,1103,7.7,built_in,
168873,1104,0,built_in,
168873,1110,0,built_in,
168873,1109,0,built_in,
168873,1165,0.16,built_in,
168873,1166,0.034,built_in,
168873,1167,0.144,built_in,
168873,1170,0.217,built_in,
168873,1171,0,built_in,
168873,1178,0,built_in,
168873,1180,0,built_in,
168873,1186,0,built_in,
168873,1210,0.057,built_in,
168873,1211,0.086,built_in,
168873,1212,0.114,built_in,
168873,1213,0.235,built_in,
168873,1214,0.13,built_in,
168873,1215,0.057,built_in,
168873,1216,0.099,built_in,
168873,1217,0.155,built_in,
168873,1218,0.114,built_in,
168873,1219,0.165,built_in,
168873,1220,0.219,built_in,
168873,1221,0.07,built_in,
168873,1269,0.324,built_in,
168873,1270,0.015,built_in,
168873,1272,0,built_in,
168873,1278,0,built_in,
168873,1316,0,built_in,
168873,1404,0,built_in,
168875,1003,2.32,built_in,
168875,1004,0.83,built_in,
168875,1005,23.51,built_in,
168875,1008,112,built_in,
168875,1051,72.96,built_in,
168875,1079,1.8,built_in,
168875,1087,10,built_in,
168875,1088,0,built_in,
168875,1089,0.53,built_in,
168875,1090,44,built_in,
168875,1091,77,built_in,
168875,1092,79,built_in,
168875,1093,1,built_in,
168875,1095,0.62,built_in,
168875,1098,0.081,built_in,
168875,1100,0,built_in,
168875,1101,1.097,built_in,
168875,1103,0,built_in,
168875,1104,0,built_in,
168875,1110,0,built_in,
168875,1109,0,built_in,
168875,1165,0.102,built_in,
168875,1166,0.012,built_in,
168875,1167,1.33,built_in,
168875,1170,0.392,built_in,
168875,1171,0,built_in,
168875,1178,0,built_in,
168875,1180,0,built_in,
168875,1186,0,built_in,
168875,1210,0.03,built_in,
168875,1211,0.085,built_in,
168875,1212,0.098,built_in,
168875,1213,0.191,built_in,
168875,1214,0.088,built_in,
168875,1215,0.052,built_in,
168875,1216,0.028,built_in,
168875,1217,0.119,built_in,
168875,1218,0.087,built_in,
168875,1219,0.136,built_in,
168875,1220,0.175,built_in,
168875,1221,0.059,built_in,
168875,1269,0.283,built_in,
168875,1270,0.013,built_in,
168875,1272,0,built_in,
168875,1278,0,built_in,
168875,1316,0,built_in,
168875,1404,0,built_in,
168917,1003,4.4,built_in,
168917,1004,1.92,built_in,
168917,1005,21.3,built_in,
168917,1008,120,built_in,
168917,1051,71.61,built_in,
168917,1079,2.8,built_in,
168917,1087,17,built_in,
168917,1088,0,built_in,
168917,1089,1.49,built_in,
168917,1090,64,built_in,
168917,1091,152,built_in,
168917,1092,172,built_in,
168917,1093,7,built_in,
168917,1095,1.09,built_in,
168917,1098,0.192,built_in,
168917,1100,0,built_in,
168917,1101,0.631,built_in,
168917,1103,2.8,built_in,
168917,1104,5,built_in,
168917,1110,0,built_in,
168917,1109,0.63,built_in,
168917,1165,0.107,built_in,
168917,1166,0.11,built_in,
168917,1167,0.412,built_in,
168917,1170,0,built_in,
168917,1171,0,built_in,
168917,1178,0,built_in,
168917,1180,23,built_in,
168917,1186,0,built_in,
168917,1210,0.052,built_in,
168917,1211,0.131,built_in,
168917,1212,0.157,built_in,
168917,1213,0.261,built_in,
168917,1214,0.239,built_in,
168917,1215,0.096,built_in,
168917,1216,0.063,built_in,
168917,1217,0.185,built_in,
168917,1218,0.083,built_in,
168917,1219,0.185,built_in,
168917,1220,0.34,built_in,
168917,1221,0.127,built_in,
168917,1269,0.974,built_in,
168917,1270,0.085,built_in,
168917,1272,0.015,built_in,
168917,1278,0,built_in,
168917,1316,0,built_in,
168917,1404,0,built_in,
169211,1003,1.53,built_in,
169211,1004,0.22,built_in,
169211,1005,1.92,built_in,
169211,1008,12,built_in,
169211,1051,95.92,built_in,
169211,1079,1,built_in,
169211,1087,12,built_in,
169211,1088,0,built_in,
169211,1089,0.24,built_in,
169211,1090,3,built_in,
169211,1091,20,built_in,
169211,1092,533,built_in,
169211,1093,4,built_in,
169211,1095,0.47,built_in,
169211,1098,0.082,built_in,
169211,1100,0,built_in,
169211,1101,0.113,built_in,
169211,1103,0.4,built_in,
169211,1104,0,built_in,
169211,1110,0,built_in,
169211,1109,0,built_in,
169211,1165,0.02,built_in,
169211,1166,0.05,built_in,
169211,1167,0.3,built_in,
169211,1170,0.066,built_in,
169211,1171,0,built_in,
169211,1178,0,built_in,
169211,1180,0,built_in,
169211,1186,0,built_in,
169211,1210,0.016,built_in,
169211,1211,0.05,built_in,
169211,1212,0.051,built_in,
169211,1213,0.082,built_in,
169211,1214,0.079,built_in,
169211,1215,0.017,built_in,
169211,1216,0.013,built_in,
169211,1217,0.053,built_in,
169211,1218,0,built_in,
169211,1219,0.062,built_in,
169211,1220,0.057,built_in,
169211,1221,0.025,built_in,
169211,1269,0.083,built_in,
169211,1270,0.015,built_in,
169211,1272,0,built_in,
169211,1278,0,built_in,
169211,1316,0,built_in,
169211,1404,0,built_in,
169225,1003,0.59,built_in,
169225,1004,0.16,built_in,
169225,1005,2.16,built_in,
169225,1008,10,built_in,
169225,1051,96.73,built_in,
169225,1079,0.7,built_in,
169225,1087,14,built_in,
169225,1088,0,built_in,
169225,1089,0.22,built_in,
169225,1090,12,built_in,
169225,1091,21,built_in,
169225,1092,136,built_in,
169225,1093,2,built_in,
169225,1095,0.17,built_in,
169225,1098,0.071,built_in,
169225,1100,0,built_in,
169225,1101,0.073,built_in,
169225,1103,0.1,built_in,
169225,1104,72,built_in,
169225,1110,0,built_in,
169225,1109,0.03,built_in,
169225,1165,0.031,built_in,
169225,1166,0.025,built_in,
169225,1167,0.037,built_in,
169225,1170,0.24,built_in,
169225,1171,0,built_in,
169225,1178,0,built_in,
169225,1180,5.7,built_in,
169225,1186,0,built_in,
169225,1210,0.007,built_in,
169225,1211,0.012,built_in,
169225,1212,0.012,built_in,
169225,1213,0.025,built_in,
169225,1214,0.025,built_in,
169225,1215,0.012,built_in,
169225,1216,0.007,built_in,
169225,1217,0.031,built_in,
169225,1218,0.002,built_in,
169225,1219,0.012,built_in,
169225,1220,0.031,built_in,
169225,1221,0.002,built_in,
169225,1269,0.01,built_in,
169225,1270,0.01,built_in,
169225,1272,0,built_in,
169225,1278,0,built_in,
169225,1316,0,built_in,
169225,1404,0,built_in,
169283,1003,12.35,built_in,
169283,1004,6.4,built_in,
169283,1005,11.05,built_in,
169283,1008,141,built_in,
169283,1051,68.6,built_in,
169283,1079,4.2,built_in,
169283,1087,145,built_in,
169283,1088,0,built_in,
169283,1089,2.5,built_in,
169283,1090,60,built_in,
169283,1091,158,built_in,
169283,1092,539,built_in,
169283,1093,14,built_in,
169283,1095,0.91,built_in,
169283,1098,0.117,built_in,
169283,1100,0,built_in,
169283,1101,0.502,built_in,
169283,1103,1.4,built_in,
169283,1104,156,built_in,
169283,1110,0,built_in,
169283,1109,0,built_in,
169283,1165,0.26,built_in,
169283,1166,0.155,built_in,
169283,1167,1.25,built_in,
169283,1170,0.128,built_in,
169283,1171,0,built_in,
169283,1178,0,built_in,
169283,1180,0,built_in,
169283,1186,0,built_in,
169283,1210,0.15,built_in,
169283,1211,0.492,built_in,
169283,1212,0.543,built_in,
169283,1213,0.883,built_in,
169283,1214,0.739,built_in,
169283,1215,0.15,built_in,
169283,1216,0.113,built_in,
169283,1217,0.559,built_in,
169283,1218,0.443,built_in,
169283,1219,0.549,built_in,
169283,1220,0.994,built_in,
169283,1221,0.332,built_in,
169283,1269,2.657,built_in,
169283,1270,0.354,built_in,
169283,1272,0,built_in,
169283,1278,0,built_in,
169283,1316,0,built_in,
169283,1404,0,built_in,
169292,1003,1.14,built_in,
169292,1004,0.36,built_in,
169292,1005,2.69,built_in,
